capture_id,season_id,survey_id,transformed_datetime,fox_id,fox_name,age_class,sex,social_status,image
1400,2,1,2013-07-18 08:00:56,4,Holly,adult,f,sub,20130718_210056.jpg
1401,2,1,2013-07-18 08:00:56,4,Holly,adult,f,sub,20130718_210056_001.jpg
1402,2,1,2013-07-18 08:00:56,4,Holly,adult,f,sub,20130718_210056_002.jpg
1403,2,1,2013-07-18 08:01:10,4,Holly,adult,f,sub,20130718_210110.jpg
1404,2,1,2013-07-18 08:06:28,4,Holly,adult,f,sub,20130718_210628.jpg
1405,2,1,2013-07-18 08:06:28,4,Holly,adult,f,sub,20130718_210628_001.jpg
1406,2,1,2013-07-18 08:06:28,4,Holly,adult,f,sub,20130718_210628_002.jpg
1407,2,1,2013-07-18 08:06:53,4,Holly,adult,f,sub,20130718_210653.jpg
1408,2,1,2013-07-18 08:06:53,4,Holly,adult,f,sub,20130718_210653_001.jpg
1409,2,1,2013-07-18 08:06:53,4,Holly,adult,f,sub,20130718_210653_002.jpg
1410,2,1,2013-07-18 08:19:36,3,Ash,adult,m,sub,20130718_211936.jpg
1411,2,1,2013-07-18 08:19:36,3,Ash,adult,m,sub,20130718_211936_001.jpg
1412,2,1,2013-07-18 08:19:36,3,Ash,adult,m,sub,20130718_211936_002.jpg
1413,2,1,2013-07-18 08:20:29,3,Ash,adult,m,sub,20130718_212029.jpg
1414,2,1,2013-07-18 08:20:30,3,Ash,adult,m,sub,20130718_212030.jpg
1415,2,1,2013-07-18 08:20:30,3,Ash,adult,m,sub,20130718_212030_001.jpg
1416,2,1,2013-07-18 08:25:45,2,Orchid,adult,m,dom,20130718_212545.jpg
1417,2,1,2013-07-18 08:34:58,2,Orchid,adult,m,dom,20130718_213458.jpg
1418,2,1,2013-07-18 08:40:09,2,Orchid,adult,m,dom,20130718_214009.jpg
1419,2,1,2013-07-18 09:09:18,5,Willow,adult,f,sub,20130718_220918.jpg
1420,2,1,2013-07-18 10:18:57,3,Ash,adult,m,sub,20130718_231857.jpg
1423,2,1,2013-07-18 10:28:39,3,Ash,adult,m,sub,20130718_232839.jpg
1424,2,1,2013-07-18 10:29:38,3,Ash,adult,m,sub,20130718_232938.jpg
1429,2,1,2013-07-18 11:10:05,2,Orchid,adult,m,dom,20130719_001005.jpg
1430,2,1,2013-07-18 11:10:49,2,Orchid,adult,m,dom,20130719_001049.jpg
1431,2,1,2013-07-18 11:19:19,2,Orchid,adult,m,dom,20130719_001919.jpg
1432,2,1,2013-07-18 11:22:11,2,Orchid,adult,m,dom,20130719_002211.jpg
1433,2,1,2013-07-18 11:22:40,2,Orchid,adult,m,dom,20130719_002240.jpg
1434,2,1,2013-07-18 11:23:21,5,Willow,adult,f,sub,20130719_002321.jpg
1435,2,1,2013-07-18 11:24:10,2,Orchid,adult,m,dom,20130719_002410.jpg
1436,2,1,2013-07-18 12:33:05,1,Hazel,adult,f,dom,20130719_013305.jpg
1437,2,1,2013-07-18 12:35:38,1,Hazel,adult,f,dom,20130719_013538.jpg
1438,2,1,2013-07-18 13:26:37,4,Holly,adult,f,sub,20130719_022637.jpg
1439,2,1,2013-07-19 06:53:11,5,Willow,adult,f,sub,20130719_195311.jpg
1440,2,1,2013-07-19 06:53:11,5,Willow,adult,f,sub,20130719_195311_001.jpg
1441,2,1,2013-07-19 06:53:11,5,Willow,adult,f,sub,20130719_195311_002.jpg
1442,2,1,2013-07-19 06:58:46,4,Holly,adult,f,sub,20130719_195846.jpg
1443,2,1,2013-07-19 06:58:46,5,Willow,adult,f,sub,20130719_195846_001.jpg
1444,2,1,2013-07-19 06:58:46,5,Willow,adult,f,sub,20130719_195846_002.jpg
1445,2,1,2013-07-19 07:00:33,4,Holly,adult,f,sub,20130719_200033.jpg
1446,2,1,2013-07-19 07:00:33,4,Holly,adult,f,sub,20130719_200033_001.jpg
1447,2,1,2013-07-19 07:00:33,4,Holly,adult,f,sub,20130719_200033_002.jpg
1448,2,1,2013-07-19 07:10:53,2,Orchid,adult,m,dom,20130719_201053.jpg
1449,2,1,2013-07-19 07:10:53,2,Orchid,adult,m,dom,20130719_201053_001.jpg
1450,2,1,2013-07-19 07:10:53,2,Orchid,adult,m,dom,20130719_201053_002.jpg
1451,2,1,2013-07-19 07:11:16,2,Orchid,adult,m,dom,20130719_201116.jpg
1452,2,1,2013-07-19 07:11:16,4,Holly,adult,f,sub,20130719_201116_001.jpg
1453,2,1,2013-07-19 07:11:16,4,Holly,adult,f,sub,20130719_201116_002.jpg
1454,2,1,2013-07-19 07:11:47,4,Holly,adult,f,sub,20130719_201147.jpg
1455,2,1,2013-07-19 07:11:47,4,Holly,adult,f,sub,20130719_201147_001.jpg
1456,2,1,2013-07-19 07:11:47,4,Holly,adult,f,sub,20130719_201147_002.jpg
1457,2,1,2013-07-19 07:12:48,2,Orchid,adult,m,dom,20130719_201248.jpg
1458,2,1,2013-07-19 07:12:48,2,Orchid,adult,m,dom,20130719_201248_001.jpg
1459,2,1,2013-07-19 07:13:40,2,Orchid,adult,m,dom,20130719_201340.jpg
1460,2,1,2013-07-19 07:13:40,2,Orchid,adult,m,dom,20130719_201340_001.jpg
1461,2,1,2013-07-19 07:13:40,2,Orchid,adult,m,dom,20130719_201340_002.jpg
1462,2,1,2013-07-19 07:14:37,2,Orchid,adult,m,dom,20130719_201437.jpg
1463,2,1,2013-07-19 07:14:37,2,Orchid,adult,m,dom,20130719_201437_001.jpg
1464,2,1,2013-07-19 07:14:37,2,Orchid,adult,m,dom,20130719_201437_002.jpg
1465,2,1,2013-07-19 07:14:59,2,Orchid,adult,m,dom,20130719_201459.jpg
1466,2,1,2013-07-19 07:14:59,2,Orchid,adult,m,dom,20130719_201459_001.jpg
1467,2,1,2013-07-19 07:14:59,2,Orchid,adult,m,dom,20130719_201459_002.jpg
1468,2,1,2013-07-19 07:16:45,2,Orchid,adult,m,dom,20130719_201645.jpg
1469,2,1,2013-07-19 07:16:45,2,Orchid,adult,m,dom,20130719_201645_001.jpg
1470,2,1,2013-07-19 07:16:45,2,Orchid,adult,m,dom,20130719_201645_002.jpg
1471,2,1,2013-07-19 07:17:55,2,Orchid,adult,m,dom,20130719_201755.jpg
1472,2,1,2013-07-19 07:17:55,2,Orchid,adult,m,dom,20130719_201755_001.jpg
1473,2,1,2013-07-19 07:17:55,2,Orchid,adult,m,dom,20130719_201755_002.jpg
1474,2,1,2013-07-19 07:31:18,3,Ash,adult,m,sub,20130719_203118.jpg
1475,2,1,2013-07-19 07:31:18,3,Ash,adult,m,sub,20130719_203118_001.jpg
1476,2,1,2013-07-19 07:31:18,2,Orchid,adult,m,dom,20130719_203118_002.jpg
1477,2,1,2013-07-19 07:31:34,3,Ash,adult,m,sub,20130719_203134.jpg
1478,2,1,2013-07-19 07:31:34,2,Orchid,adult,m,dom,20130719_203134_001.jpg
1479,2,1,2013-07-19 07:31:34,2,Orchid,adult,m,dom,20130719_203134_002.jpg
1480,2,1,2013-07-19 07:31:53,2,Orchid,adult,m,dom,20130719_203153.jpg
1481,2,1,2013-07-19 07:31:53,2,Orchid,adult,m,dom,20130719_203153_001.jpg
1482,2,1,2013-07-19 07:31:53,2,Orchid,adult,m,dom,20130719_203153_002.jpg
1483,2,1,2013-07-19 07:32:12,3,Ash,adult,m,sub,20130719_203212.jpg
1484,2,1,2013-07-19 07:32:12,2,Orchid,adult,m,dom,20130719_203212_001.jpg
1485,2,1,2013-07-19 07:32:12,2,Orchid,adult,m,dom,20130719_203212_002.jpg
1486,2,1,2013-07-19 07:32:31,3,Ash,adult,m,sub,20130719_203231.jpg
1487,2,1,2013-07-19 07:32:31,3,Ash,adult,m,sub,20130719_203231_001.jpg
1488,2,1,2013-07-19 07:32:31,2,Orchid,adult,m,dom,20130719_203231_002.jpg
1489,2,1,2013-07-19 07:33:28,2,Orchid,adult,m,dom,20130719_203328.jpg
1490,2,1,2013-07-19 07:33:28,2,Orchid,adult,m,dom,20130719_203328_001.jpg
1491,2,1,2013-07-19 07:33:28,2,Orchid,adult,m,dom,20130719_203328_002.jpg
1492,2,1,2013-07-19 07:34:04,2,Orchid,adult,m,dom,20130719_203404.jpg
1493,2,1,2013-07-19 07:34:04,3,Ash,adult,m,sub,20130719_203404_001.jpg
1494,2,1,2013-07-19 07:34:04,3,Ash,adult,m,sub,20130719_203404_002.jpg
1495,2,1,2013-07-19 07:34:22,2,Orchid,adult,m,dom,20130719_203422.jpg
1496,2,1,2013-07-19 07:34:22,2,Orchid,adult,m,dom,20130719_203422_001.jpg
1497,2,1,2013-07-19 07:34:22,2,Orchid,adult,m,dom,20130719_203422_002.jpg
1498,2,1,2013-07-19 07:59:14,2,Orchid,adult,m,dom,20130719_205914.jpg
1499,2,1,2013-07-19 07:59:15,2,Orchid,adult,m,dom,20130719_205915.jpg
1500,2,1,2013-07-19 07:59:15,2,Orchid,adult,m,dom,20130719_205915_001.jpg
1501,2,1,2013-07-19 07:59:51,3,Ash,adult,m,sub,20130719_205951.jpg
1502,2,1,2013-07-19 07:59:51,2,Orchid,adult,m,dom,20130719_205951_001.jpg
1503,2,1,2013-07-19 07:59:51,2,Orchid,adult,m,dom,20130719_205951_002.jpg
1504,2,1,2013-07-19 08:00:24,3,Ash,adult,m,sub,20130719_210024.jpg
1505,2,1,2013-07-19 08:00:24,2,Orchid,adult,m,dom,20130719_210024_001.jpg
1506,2,1,2013-07-19 08:00:24,2,Orchid,adult,m,dom,20130719_210024_002.jpg
1507,2,1,2013-07-19 08:00:57,3,Ash,adult,m,sub,20130719_210057.jpg
1508,2,1,2013-07-19 08:00:57,3,Ash,adult,m,sub,20130719_210057_001.jpg
1509,2,1,2013-07-19 08:00:57,2,Orchid,adult,m,dom,20130719_210057_002.jpg
1510,2,1,2013-07-19 08:01:34,3,Ash,adult,m,sub,20130719_210134.jpg
1511,2,1,2013-07-19 08:01:34,3,Ash,adult,m,sub,20130719_210134_001.jpg
1512,2,1,2013-07-19 08:01:34,3,Ash,adult,m,sub,20130719_210134_002.jpg
1513,2,1,2013-07-19 08:03:02,5,Willow,adult,f,sub,20130719_210302.jpg
1514,2,1,2013-07-19 08:03:02,3,Ash,adult,m,sub,20130719_210302_001.jpg
1515,2,1,2013-07-19 08:03:02,3,Ash,adult,m,sub,20130719_210302_002.jpg
1516,2,1,2013-07-19 08:03:33,5,Willow,adult,f,sub,20130719_210333.jpg
1517,2,1,2013-07-19 08:03:33,5,Willow,adult,f,sub,20130719_210333_001.jpg
1518,2,1,2013-07-19 08:03:33,5,Willow,adult,f,sub,20130719_210333_002.jpg
1519,2,1,2013-07-19 08:03:57,5,Willow,adult,f,sub,20130719_210357.jpg
1520,2,1,2013-07-19 08:03:57,3,Ash,adult,m,sub,20130719_210357_001.jpg
1521,2,1,2013-07-19 08:03:57,3,Ash,adult,m,sub,20130719_210357_002.jpg
